id,name,short_name,bank_code,bank_type,headquarters,website,logo_url,created_at,is_active,is_curated,merged_into_id,slug,source_razorpay,source_rbi,sub_type,updated_at
1,Thane Bharat Sahakari Bank,Thane Bharat Coop,TBSB,Cooperative,,,,2026-03-29 15:49:20.911000,True,False,,thane-bharat-sahakari-bank-1,True,False,Cooperative Bank,2026-04-02 16:49:15.358000
2,Dattatraya Maharaj Kalambe Jaoli Sahakari Bank,DMKJ Coop,DMKJ,Cooperative,,,,2026-03-29 15:49:20.911000,True,False,,dattatraya-maharaj-kalambe-jaoli-sahakari-bank-2,True,False,Cooperative Bank,2026-03-30 11:27:32.444000
3,Dmk Jaoli Bank,Dmk Jaoli,DMKJ,Private,,,,2026-03-29 15:49:20.911000,True,False,,dmk-jaoli-bank-3,True,False,Cooperative Bank,2026-04-02 16:56:23.809000
4,Janakalyan Sahakari Bank,Janakalyan Coop,JSBL,Cooperative,,,,2026-03-29 15:49:20.911000,True,False,,janakalyan-sahakari-bank-4,True,False,Cooperative Bank,2026-04-02 16:39:00.069000
5,Fino Payments Bank,Fino Payments,FINO,Payments Bank,,https://finobank.com,,2026-03-29 15:49:20.911000,True,False,,fino-payments-bank,True,False,Payments Bank,2026-04-02 16:56:10.378000
6,Kangra Co-operative Bank,Kangra Coop,KANG,Cooperative,,,,2026-03-29 15:49:20.911000,True,False,,kangra-co-operative-bank-6,True,False,Cooperative Bank,2026-04-02 16:40:42.167000
7,Maharashtra State Co-operative Bank,Maharashtra State Coop,MSCI,Cooperative,,,,2026-03-29 15:49:20.911000,True,False,,maharashtra-state-co-operative-bank-7,True,False,Cooperative Bank,2026-04-02 16:49:17.545000
8,Capital Small Finance Bank,CSF,CLBL,Small Finance Bank,,,,2026-03-29 15:49:20.911000,True,False,,capital-small-finance-bank-8,True,False,Small Finance Bank,2026-04-02 16:55:24.874000
9,Rabobank International,Rabobank International,RABO,Private,,,,2026-03-29 15:49:20.911000,True,False,,rabobank-international-9,True,False,Foreign Bank,2026-04-02 16:55:59.152000
10,Suco Souharda Sahakari Bank,Suco Souharda Coop,SUSB,Cooperative,,,,2026-03-29 15:49:20.911000,True,False,,suco-souharda-sahakari-bank-10,True,False,Cooperative Bank,2026-04-02 16:40:25.902000
11,Nasik Merchants Co-operative Bank,Nasik Merchants Coop,NMCB,Cooperative,,,,2026-03-29 15:49:20.911000,True,False,,nasik-merchants-co-operative-bank-11,True,False,Cooperative Bank,2026-04-02 16:52:03.494000
12,Janaseva Sahakari Bank (Borivli),Janaseva   (Borivli) Coop,JASB,Cooperative,,,,2026-03-29 15:49:20.911000,True,False,,janaseva-sahakari-bank-(borivli)-12,True,False,Cooperative Bank,2026-04-02 16:40:43.256000
13,ICICI Bank,ICICI,ICIC,Private,,https://icicibank.com,,2026-03-29 15:49:20.911000,True,False,,icici-bank,True,False,Private Sector Bank,2026-04-02 16:55:21.501000
15,Ahmednagar District Central Co-operative Bank,Ahmednagar Coop,AHDC,Cooperative,,,,2026-03-29 15:49:20.911000,True,False,,ahmednagar-district-central-co-operative-bank-15,True,False,Cooperative Bank,2026-03-30 11:27:32.444000
18,Ambarnath Jai-hind Co-operative Bank,Ambarnath Jai-hind Coop,AJHC,Cooperative,,,,2026-03-29 15:49:20.911000,True,False,,ambarnath-jai-hind-co-operative-bank-18,True,False,Cooperative Bank,2026-03-30 11:27:32.444000
20,Aman Sahakari Bank,ICICI,ICIC,Cooperative,,https://icicibank.com,,2026-03-29 15:49:20.911000,True,False,,aman-sahakari-bank-20,True,False,Cooperative Bank,2026-04-02 16:56:39.438000
22,Ashok Sahakari Bank,ICICI,ICIC,Cooperative,,https://icicibank.com,,2026-03-29 15:49:20.911000,True,False,,ashok-sahakari-bank-22,True,False,Cooperative Bank,2026-04-02 16:40:29.227000
29,Zila Sahakari Bank Bijnor,ICICI,ICIC,Cooperative,,https://icicibank.com,,2026-03-29 15:49:20.911000,True,False,,zila-sahakari-bank-bijnor-29,True,False,Cooperative Bank,2026-04-02 16:39:01.334000
31,Zila Sahakari Bank Bulandshahar,ICICI,ICIC,Cooperative,,https://icicibank.com,,2026-03-29 15:49:20.911000,True,False,,zila-sahakari-bank-bulandshahar-31,True,False,Cooperative Bank,2026-04-02 16:40:44.345000
33,Chembur Nagarik Sahakari Bank,ICICI,ICIC,Cooperative,,https://icicibank.com,,2026-03-29 15:49:20.911000,True,False,,chembur-nagarik-sahakari-bank-33,True,False,Cooperative Bank,2026-04-02 16:39:20.457000
37,Zila Sahakari Bank Gorakhpur,ICICI,ICIC,Cooperative,,https://icicibank.com,,2026-03-29 15:49:20.911000,True,False,,zila-sahakari-bank-gorakhpur-37,True,False,Cooperative Bank,2026-03-30 11:27:32.444000
45,Firozabad Zila d Bank,ICICI,ICIC,Private,,https://icicibank.com,,2026-03-29 15:49:20.911000,True,False,,firozabad-zila-d-bank-45,True,False,Cooperative Bank,2026-03-30 11:27:32.444000
49,Harihareshwar Sahakari Bank,ICICI,ICIC,Cooperative,,https://icicibank.com,,2026-03-29 15:49:20.911000,True,False,,harihareshwar-sahakari-bank-49,True,False,Cooperative Bank,2026-03-30 11:27:32.444000
