id,name,state_id,slug,normalized_name,created_at
1,NARMADA,10,narmada,NARMADA,2026-03-29 16:13:57.942000
2,JAMSHAEDPUR,22,jamshaedpur,JAMSHAEDPUR,2026-03-29 16:13:57.942000
3,JHUNJUNU,4,jhunjunu,JHUNJUNU,2026-03-29 16:13:57.942000
4,G B NAGAR,5,g-b-nagar,G B NAGAR,2026-03-29 16:13:57.942000
5,NASHIPUR BALAGACHH DIST MURSHIDABAD,19,nashipur-balagachh-dist-murshidabad,NASHIPUR BALAGACHH DIST MURSHIDABAD,2026-03-29 16:13:57.942000
6,MADANPUR DIST FIROZABAD,5,madanpur-dist-firozabad,MADANPUR DIST FIROZABAD,2026-03-29 16:13:57.942000
7,KANSHIRAM NAGAR UP,5,kanshiram-nagar-up,KANSHIRAM NAGAR UP,2026-03-29 16:13:57.942000
9,NAGPUR,21,nagpur,NAGPUR,2026-03-29 16:13:57.942000
10,SANGAMESHWAR,1,sangameshwar,SANGAMESHWAR,2026-03-29 16:13:57.942000
11,PERAMBALUR,1,perambalur,PERAMBALUR,2026-03-29 16:13:57.942000
12,HOSIARPUR,21,hosiarpur,HOSIARPUR,2026-03-29 16:13:57.942000
13,NOORABAD,13,noorabad,NOORABAD,2026-03-29 16:13:57.942000
14,GT ROAD,5,gt-road,GT ROAD,2026-03-29 16:13:57.942000
15,BHATKAL,20,bhatkal,BHATKAL,2026-03-29 16:13:57.942000
16,GULBARGA,20,gulbarga,GULBARGA,2026-03-29 16:13:57.942000
17,NEVRI DIST DEWAS,13,nevri-dist-dewas,NEVRI DIST DEWAS,2026-03-29 16:13:57.942000
18,KAVALAKARANPATTI DISTKARUR,16,kavalakaranpatti-distkarur,KAVALAKARANPATTI DISTKARUR,2026-03-29 16:13:57.942000
19,GAUTAM BUDDHA NAGAR,5,gautam-buddha-nagar,GAUTAM BUDDHA NAGAR,2026-03-29 16:13:57.942000
20,BAGAHA PASCHIMI CHAMPARAN BH,3,bagaha-paschimi-champaran-bh,BAGAHA PASCHIMI CHAMPARAN BH,2026-03-29 16:13:57.942000
21,KOLKATA,10,kolkata,KOLKATA,2026-03-29 16:13:57.942000
22,VIBHADRA DIST- DEHRADUN,17,vibhadra-dist-dehradun,VIBHADRA DIST- DEHRADUN,2026-03-29 16:13:57.942000
23,SARAIKELA KHARSAWAN,22,saraikela-kharsawan,SARAIKELA KHARSAWAN,2026-03-29 16:13:57.942000
24,RAJGARH (MP),13,rajgarh-mp,RAJGARH (MP),2026-03-29 16:13:57.942000
25,KAMRUP,2,kamrup,KAMRUP,2026-03-29 16:13:57.942000
26,DIST-SABARKANTHA,10,dist-sabarkantha,DIST-SABARKANTHA,2026-03-29 16:13:57.942000
27,ARCOT,16,arcot,ARCOT,2026-03-29 16:13:57.942000
28,RAJAM AP,8,rajam-ap,RAJAM AP,2026-03-29 16:13:57.942000
29,KORIYA,25,koriya,KORIYA,2026-03-29 16:13:57.942000
30,"SHAHIBAGH, AHMEDABAD (GUJRAT)",10,shahibagh-ahmedabad-gujrat,"SHAHIBAGH, AHMEDABAD (GUJRAT)",2026-03-29 16:13:57.942000
31,FIROZPUR,21,firozpur,FIROZPUR,2026-03-29 16:13:57.942000
32,SURIYA DIST GIRIDIH,22,suriya-dist-giridih,SURIYA DIST GIRIDIH,2026-03-29 16:13:57.942000
33,HARRAIYA,5,harraiya,HARRAIYA,2026-03-29 16:13:57.942000
34,KASARAGODE,15,kasaragode,KASARAGODE,2026-03-29 16:13:57.942000
35,LEH,39,leh,LEH,2026-03-29 16:13:57.942000
36,BHIMA NAGAR DISTT SOLAPUR,1,bhima-nagar-distt-solapur,BHIMA NAGAR DISTT SOLAPUR,2026-03-29 16:13:57.942000
37,UTTRAKHAND,17,uttrakhand,UTTRAKHAND,2026-03-29 16:13:57.942000
38,SAGAHI DIST GAYA,3,sagahi-dist-gaya,SAGAHI DIST GAYA,2026-03-29 16:13:57.942000
39,MUDAGANDURU,20,mudaganduru,MUDAGANDURU,2026-03-29 16:13:57.942000
40,JALPAIGURI,1,jalpaiguri,JALPAIGURI,2026-03-29 16:13:57.942000
41,KARNATAKA,16,karnataka,KARNATAKA,2026-03-29 16:13:57.942000
42,MALEGAON DIST NASIK,1,malegaon-dist-nasik,MALEGAON DIST NASIK,2026-03-29 16:13:57.942000
43,PATODA,1,patoda,PATODA,2026-03-29 16:13:57.942000
44,RANJANI DIST SANGLI,1,ranjani-dist-sangli,RANJANI DIST SANGLI,2026-03-29 16:13:57.942000
45,SOUTH GARO HILLS,28,south-garo-hills,SOUTH GARO HILLS,2026-03-29 16:13:57.942000
46,SORAON,5,soraon,SORAON,2026-03-29 16:13:57.942000
47,JALANDHAR,6,jalandhar,JALANDHAR,2026-03-29 16:13:57.942000
48,AVVALSHANMUAGAM SALAI CHENNAI,16,avvalshanmuagam-salai-chennai,AVVALSHANMUAGAM SALAI CHENNAI,2026-03-29 16:13:57.942000
49,ROHA DIST RAIGAD,1,roha-dist-raigad,ROHA DIST RAIGAD,2026-03-29 16:13:57.942000
50,DISTT.MOHALI,21,disttmohali,DISTT.MOHALI,2026-03-29 16:13:57.942000
51,KOCHI TRIVANDRUM,15,kochi-trivandrum,KOCHI TRIVANDRUM,2026-03-29 16:13:57.942000
52,NAHAN,9,nahan,NAHAN,2026-03-29 16:13:57.942000
53,KANCHEEPURAM,7,kancheepuram,KANCHEEPURAM,2026-03-29 16:13:57.942000
54,SUKLI BAI DIST WARDHA,1,sukli-bai-dist-wardha,SUKLI BAI DIST WARDHA,2026-03-29 16:13:57.942000
55,AMZERA DIST DHAR,13,amzera-dist-dhar,AMZERA DIST DHAR,2026-03-29 16:13:57.942000
56,BANSUR,4,bansur,BANSUR,2026-03-29 16:13:57.942000
57,BHIWANI,21,bhiwani,BHIWANI,2026-03-29 16:13:57.942000
58,JALPAIGURI,19,jalpaiguri,JALPAIGURI,2026-03-29 16:13:57.942000
59,SAHIBGANJ,22,sahibganj,SAHIBGANJ,2026-03-29 16:13:57.942000
60,ALINDRA DISTT KHEDA GJ,10,alindra-distt-kheda-gj,ALINDRA DISTT KHEDA GJ,2026-03-29 16:13:57.942000
