id,name,state_id,slug,normalized_name
1,Thane,1,thane,THANE
2,Kalyan,1,kalyan,KALYAN
3,Mumbai,1,mumbai,MUMBAI
4,Navi Mumbai,1,navi-mumbai,NAVI MUMBAI
5,Dombivali,1,dombivali,DOMBIVALI
6,Panvel,1,panvel,PANVEL
7,Badlapur,1,badlapur,BADLAPUR
8,Pune,1,pune,PUNE
9,Pen,1,pen,PEN
10,Shahapur,1,shahapur,SHAHAPUR
11,Kurla East,1,kurla-east,KURLA EAST
12,Palghar,1,palghar,PALGHAR
13,Karjat,1,karjat,KARJAT
14,Thakurli,1,thakurli,THAKURLI
15,Chakan,1,chakan,CHAKAN
16,Satara,1,satara,SATARA
17,Bhayander,1,bhayander,BHAYANDER
19,Khagaria,3,khagaria,KHAGARIA
20,Sanganeer,4,sanganeer,SANGANEER
21,Gautam Buddha Nagar,5,gautam-buddha-nagar,GAUTAM BUDDHA NAGAR
22,Alwar,4,alwar,ALWAR
23,Begusarai,3,begusarai,BEGUSARAI
25,Naraingarh,7,naraingarh,NARAINGARH
26,Vijaywada,8,vijaywada,VIJAYWADA
27,Solan,9,solan,SOLAN
28,Surat,10,surat,SURAT
30,Noida,5,noida,NOIDA
31,Hyderabad,2,hyderabad,HYDERABAD
32,Yamunanagar,7,yamunanagar,YAMUNANAGAR
33,Vaishali,3,vaishali,VAISHALI
34,Gopalganj,3,gopalganj,GOPALGANJ
35,Muzaffarpur,3,muzaffarpur,MUZAFFARPUR
36,Buxar,3,buxar,BUXAR
37,Saran,3,saran,SARAN
38,Bhojpur,3,bhojpur,BHOJPUR
39,Samastipur,3,samastipur,SAMASTIPUR
40,Siwan,3,siwan,SIWAN
41,Osmanabad,1,osmanabad,OSMANABAD
42,Darbhanga,3,darbhanga,DARBHANGA
43,Danapur,5,danapur,DANAPUR
44,Diu,11,diu,DIU
45,North Goa,12,north-goa,NORTH GOA
46,Bhopal,13,bhopal,BHOPAL
47,Raipur,14,raipur,RAIPUR
48,Ernakulam,15,ernakulam,ERNAKULAM
49,Kochadai,16,kochadai,KOCHADAI
50,Dehradun,17,dehradun,DEHRADUN
51,Bhubaneswar,18,bhubaneswar,BHUBANESWAR
52,Kolkata,19,kolkata,KOLKATA
54,Thiruvananthapuram,15,thiruvananthapuram,THIRUVANANTHAPURAM
55,Jodhpur City,4,jodhpur-city,JODHPUR CITY
56,Gurgaon,7,gurgaon,GURGAON
57,Ludhiana,21,ludhiana,LUDHIANA
58,Haridwar,17,haridwar,HARIDWAR
59,Bhagalpur,3,bhagalpur,BHAGALPUR
60,Moradabad,5,moradabad,MORADABAD
61,Lucknow Ashiyana,5,lucknow-ashiyana,LUCKNOW ASHIYANA
62,Ram Bagh Agra,5,ram-bagh-agra,RAM BAGH AGRA
63,Azamgarh,5,azamgarh,AZAMGARH
64,Bhadohi,5,bhadohi,BHADOHI
65,Chandauli,5,chandauli,CHANDAULI
66,Deoria,5,deoria,DEORIA
67,Ghazipur,5,ghazipur,GHAZIPUR
68,Medical Collage Rapt,5,medical-collage-rapt,MEDICAL COLLAGE RAPT
69,Jaunpur,5,jaunpur,JAUNPUR
70,Kasia,5,kasia,KASIA
